"Name","Method"
"Apple","12-char serial: char 4 = Year, chars 5-6 = Week. 10-char serial (post-2021): randomized."
"ASUS","Char 1 = Year (alpha code), char 2 = Month (1-9 = Jan-Sep, A=Oct, B=Nov, C=Dec)."
"Google Pixel","Char 1 = Year last digit, chars 2-3 = Week number (01-53)."
"HP","Char 4 = Year last digit, chars 5-6 = Week number (01-52)."
"LG Electronics","Character 1"
"Panasonic","Char 1 = Year last digit. Char 2 = Month or factory code (mapping varies by product line)."
"Samsung (Phones & Tablets)","15-char serial: char 8 = Year. Shorter serials: char 4 = Year. Next char = Month."
"Samsung Electronics","Char 8 (15-digit serial) or Char 4 (11-digit serial)"
"Sony","Last letter of MODEL number encodes year: H=2020, J=2021, K=2022, L=2023, M=2024, N=2025."
"Vizio","Chars 4-5 = Year/Week code. Decoded using YYWW and WWYY heuristics; verify with model info."
