"Name","Method"
"Amana","Digits 1-2 (year), digits 3-4 (month). Source: Manufacturer Technical Specifications."
"American Standard","Digits 3-4 (year). Source: Manufacturer Technical Specifications."
"Bryant","Digits 1-2 (week), digits 3-4 (year). Source: Manufacturer Technical Specifications."
"Carrier","Digits 3-4 (year). Source: Manufacturer Technical Specifications."
"Goodman","Digits 1-2 (year), digits 3-4 (month). Source: Manufacturer Technical Specifications."
"Lennox","Digits 1-2 (week), digits 3-4 (year). Source: Manufacturer Technical Specifications."
"Payne","Digits 1-2 (week), digits 3-4 (year). Source: Manufacturer Technical Specifications."
"Rheem","4 digits following a letter (week + year). Source: Manufacturer Technical Specifications."
"Ruud","4 digits following a letter (week + year). Source: Manufacturer Technical Specifications."
"Trane","Digits 3-4 (year). Source: Manufacturer Technical Specifications."
"York","Digits 1-2 (week), digits 3-4 (year). Source: Manufacturer Technical Specifications."
