"Brand","Decoding Method"
"Amana","Digits 1-2 (year), digits 3-4 (month). Source: Manufacturer Technical Specifications."
"American Standard","Digits 3-4 (year). Source: Manufacturer Technical Specifications."
"Bryant","Digits 1-2 (week), digits 3-4 (year). Source: Manufacturer Technical Specifications."
"Carrier","Digits 3-4 (year). Source: Manufacturer Technical Specifications."
"Goodman","Digits 1-2 (year), digits 3-4 (month). Source: Manufacturer Technical Specifications."
"Lennox","Modern PPYYM: positions 1-2 plant, 3-4 year (YY>=73=>19YY else 20YY), 5 month letter A-H/J-M (I skipped). Pre-1973/1974 not decoded. Source: Lennox OEM nameplate format PPYYMNNNNN."
"Payne","Digits 1-2 (week), digits 3-4 (year). Source: Manufacturer Technical Specifications."
"Rheem","4 digits following a letter (week + year). Source: Manufacturer Technical Specifications."
"Ruud","4 digits following a letter (week + year). Source: Manufacturer Technical Specifications."
"Trane","Digits 3-4 (year). Source: Manufacturer Technical Specifications."
"York","Modern L-D-L-D (Oct 2004+): year from digits at positions 2+4, month letter at 3 (A-H/K-N; I and J skipped). Legacy 1971-Oct 2004: four letters + six digits; month letter 2, year-cycle letter 3 (ambiguous multi-year). Not WWYY."
